,0,1,2,3
88,Joan Crawford,Eliza Dushku,Mia Farrow,Kate Bosworth
89,Kathy Bates,Robin Wright,Audrey Tautou,Evan Rachel Wood
90,Julie Andrews,Leighton Meester,Jeanne Moreau,Mira Sorvino
91,Marion Cotillard,Viola Davis,Isabelle Huppert,Ziyi Zhang
92,Deborah Kerr,Shirley Temple,Gena Rowlands,Amanda Crew
93,Sissy Spacek,Julia Louis-Dreyfus,Lesley Manville,Amanda Bynes
94,Susan Sarandon,Olivia Thirlby,Elizabeth Olsen,Lisa Kudrow
95,Luise Rainer,Cher,Nastassja Kinski,Neve Campbell
96,Glenn Close,Penélope Cruz,Mélanie Laurent,Ellen DeGeneres
97,Doris Day,Louise Fletcher,Whitney Houston,Sofía Vergara
98,Natalie Wood,Julie Christie,Felicity Huffman,Mandy Moore
99,Jane Fonda,Patricia Neal,Imelda Staunton,Virginia Madsen
100,Jeff Bridges,Haing S. Ngor,Oscar Isaac,James Marsden
101,Chiwetel Ejiofor,Louis Gossett Jr.,Jon Heder,Tim Allen
102,Ben Kingsley,John Gielgud,Miles Teller,Giovanni Ribisi
103,Tommy Lee Jones,Timothy Hutton,Daniel Brühl,Rutger Hauer
104,Samuel L. Jackson,Melvyn Douglas,James Gandolfini,Vince Vaughn
105,Jack Lemmon,Jason Robards,Michael B. Jordan,Brian Cox
106,Joe Pesci,George Burns,Anthony Perkins,Dennis Quaid
107,Christopher Plummer,John Houseman,David Thewlis,John Leguizamo
108,George C. Scott,Ethan Hawke,Klaus Kinski,Michael Keaton
109,Morgan Freeman,Ben Johnson,Malcolm McDowell,Billy Burke
110,Christopher Walken,John Mills,Ray Winstone,Brendan Gleeson
111,John Travolta,Gig Young,Jean-Paul Belmondo,Clark Gregg
112,James Stewart,Jack Albertson,Andy Serkis,Jonathan Pryce
113,Matthew McConaughey,George Kennedy,Matthew Broderick,Tobey Maguire
114,Peter O'Toole,Walter Matthau,Dennis Hopper,Michael Sheen
115,James Cagney,Martin Balsam,Michael Rooker,Justin Long
116,Ian McKellen,Peter Ustinov,Vincent Gallo,Kellan Lutz
117,John Cusack,Ed Begley,Toshirô Mifune,Jack Black
118,Bill Murray,George Chakiris,Vincent Cassel,Pierce Brosnan
119,Robert Downey Jr.,Hugh Griffith,J.K. Simmons,Sean Bean
120,Nicolas Cage,Burl Ives,Boris Karloff,Cedric the Entertainer
121,Gene Wilder,Red Buttons,Peter Lorre,Taylor Lautner
122,Kevin Costner,Anthony Quinn,Antonio Banderas,Josh Duhamel
123,Donald Sutherland,Edmond O'Brien,Paddy Considine,Jon Favreau
124,Bruce Dern,Frank Sinatra,Ryan Phillippe,Danny Glover
125,Ava Gardner,Anne Bancroft,Kerry Washington,Freida Pinto
126,Jennifer Jones,Kim Novak,Carrie-Anne Moss,Hilary Duff
127,Sally Field,Simone Signoret,Janet Leigh,Mary Elizabeth Winstead
128,Greta Garbo,Ellen Page,Catalina Sandino Moreno,Jennifer Coolidge
129,Holly Hunter,Anna Magnani,Samantha Morton,Andrea Riseborough
130,Hilary Swank,Judy Holliday,Keisha Castle-Hughes,Molly Ringwald
131,Claudette Colbert,Loretta Young,Salma Hayek,January Jones
132,Diane Lane,Shirley Jones,Joan Allen,Maya Rudolph
133,Jessica Lange,Vera Farmiga,Janet McTeer,Sophie Marceau
134,Gloria Swanson,Helen Hayes,Fernanda Montenegro,Olga Kurylenko
135,Lauren Bacall,Marie Dressler,Kristin Scott Thomas,Franka Potente
136,Frances McDormand,Janet Gaynor,Brenda Blethyn,Rashida Jones
137,Norma Shearer,Lupita Nyong'o,Elisabeth Shue,Alicia Silverstone
138,Bette Midler,Octavia Spencer,Miranda Richardson,Rosie Huntington-Whiteley
139,Mary Tyler Moore,Melissa Leo,Stockard Channing,Lillian Gish
140,Anna Magnani,Mo'Nique,Angela Bassett,Evangeline Lilly
141,Halle Berry,Marlee Matlin,Mary McDonnell,Mireille Enos
142,Sharon Stone,Tilda Swinton,Catherine Deneuve,Jennifer Love Hewitt
143,Kim Basinger,Jennifer Hudson,Laura Dern,Emmy Rossum
144,Glenda Jackson,Renée Zellweger,Pauline Collins,Joey King
145,Donna Reed,Marcia Gay Harden,Isabelle Adjani,Ginnifer Goodwin
146,Geena Davis,Anna Paquin,Melanie Griffith,Christine Taylor
147,Demi Moore,Marisa Tomei,Sally Kirkland,Vanessa Hudgens
148,Michelle Pfeiffer,Mercedes Ruehl,Jane Alexander,Abbie Cornish
149,Liza Minnelli,Brenda Fricker,Marsha Mason,Michelle Yeoh
150,Charles Chaplin,Jean Reno,Freddie Highmore,Ian Holm
151,Peter Sellers,George Sanders,Michael J. Fox,Nathan Lane
152,Woody Allen,Dean Jagger,Eddie Murphy,Cary Elwes
153,Jon Voight,Walter Huston,Yun-Fat Chow,Martin Lawrence
154,Mel Gibson,Edmund Gwenn,Seth MacFarlane,Steve Coogan
155,Jim Carrey,Harold Russell,Bruce Lee,Sacha Baron Cohen
156,Mark Wahlberg,Hugh Grant,Jet Li,Jeffrey Wright
157,Steve Martin,Barry Fitzgerald,Chuck Norris,Jackie Chan
158,Javier Bardem,Charles Coburn,Jean-Claude Van Damme,Aaron Eckhart
159,Tim Robbins,Van Heflin,Sam Rockwell,Sam Worthington
160,Arnold Schwarzenegger,Donald Crisp,Takashi Shimura,Jack Davenport
161,Sylvester Stallone,Thomas Mitchell,Richard E. Grant,Alfred Molina
162,Viggo Mortensen,Walter Brennan,Leslie Nielsen,Justin Bartha
163,Hugo Weaving,Joseph Schildkraut,Simon Pegg,Mark Hamill
164,Christopher Lee,Keanu Reeves,John Malkovich,Brendan Fraser
165,Geoffrey Rush,Channing Tatum,Michael Shannon,Ice Cube
166,Alec Guinness,Hugh Jackman,Martin Sheen,Liev Schreiber
167,Richard Burton,Dwayne Johnson,Christopher Guest,Ed Helms
168,Alec Baldwin,Adam Sandler,Alan Rickman,Val Kilmer
169,James Caan,Daniel Radcliffe,Jackie Earle Haley,Russell Brand
170,Michael Douglas,Daniel Craig,Montgomery Clift,Craig T. Nelson
171,Ben Stiller,Ryan Gosling,James Spader,Bernie Mac
172,Willem Dafoe,Vin Diesel,Eric Bana,Patrick Stewart
173,Ed Harris,Ben Affleck,Romain Duris,Seth Green
174,Harvey Keitel,Chris Pine,Robert Shaw,Ashton Kutcher
175,Drew Barrymore,Olympia Dukakis,Jacki Weaver,Randy Quaid
176,Winona Ryder,Peggy Ashcroft,Bérénice Bejo,Wesley Snipes
177,Kathleen Turner,Linda Hunt,Hailee Steinfeld,Ludacris
178,Uma Thurman,Maureen Stapleton,Jennifer Jason Leigh,David Oyelowo
179,Hattie McDaniel,Mary Steenburgen,Kathleen Quinlan,Mark Strong
180,Rene Russo,Beatrice Straight,Taraji P. Henson,Rob Schneider
181,Annette Bening,Vanessa Redgrave,Amy Ryan,Jay Baruchel
182,Sigourney Weaver,Lee Grant,Ruby Dee,Hayden Christensen
183,Barbra Streisand,Eileen Heckart,Jill Clayburgh,Ray Stevenson
184,Raquel Welch,Cloris Leachman,Adriana Barraza,Paul Bettany
185,Joanne Woodward,Ruth Gordon,Rinko Kikuchi,Hugh Laurie
186,Shirley Booth,Estelle Parsons,Catherine Keener,Chris Tucker
187,Mercedes McCambridge,Sandy Dennis,Charlotte Rampling,Nick Swardson
188,Anjelica Huston,Shelley Winters,Sophie Okonedo,Josh Lucas
189,Dianne Wiest,Maggie Gyllenhaal,Patricia Clarkson,Chris O'Donnell
190,Goldie Hawn,Katie Holmes,Shohreh Aghdashloo,Benjamin Bratt
191,Judy Davis,Patty Duke,Lindsay Lohan,Common
192,Claudia Cardinale,Rita Moreno,Michelle Trachtenberg,Johnny Knoxville
193,Gwyneth Paltrow,Wendy Hiller,Chloë Sevigny,Marlon Wayans
194,Julianne Moore,Miyoshi Umeki,Lynn Redgrave,Jai Courtney
195,Debra Winger,Dorothy Malone,Rachel Griffiths,Albert Brooks
196,Christina Ricci,Jo Van Fleet,Margot Robbie,Macaulay Culkin
197,Juliette Binoche,Eva Marie Saint,Lili Taylor,Sam Elliott
198,Daryl Hannah,Gloria Grahame,Robin Weigert,Jim Caviezel
199,Whoopi Goldberg,Kim Hunter,Lake Bell,Paul Scofield
200,Benicio Del Toro,Andrew Garfield,Claude Rains,Jared Harris
201,Kevin Bacon,Jeremy Renner,Steve Buscemi,Harpo Marx
202,Patrick Swayze,Steve Carell,John Rhys-Davies,Jason Sudeikis
203,Michael Caine,Jake Gyllenhaal,Jean-Louis Trintignant,Josh Hartnett
204,Clint Eastwood,Chris Evans,Joseph Cotten,Patrick Wilson
205,Burt Lancaster,James Franco,Barry Pepper,Cillian Murphy
206,Robert Mitchum,Zach Galifianakis,Erich von Stroheim,Billy Crudup
207,Colin Farrell,Will Ferrell,Patrick Wilson,Christopher Mintz-Plasse
208,William Holden,Shia LaBeouf,Christopher Lloyd,Anthony Mackie
209,Edward G. Robinson,Seth Rogen,Ben Foster,Timothy Olyphant
210,William Powell,Joseph Gordon-Levitt,Joel McCrea,Josh Gad
211,Errol Flynn,Ryan Reynolds,Min-sik Choi,Luke Wilson
212,Groucho Marx,Paul Rudd,Ewan McGregor,Peter Sarsgaard
213,James Mason,Jason Segel,Gael García Bernal,Rhys Ifans
214,Buster Keaton,Jason Statham,Bruno Ganz,Topher Grace
215,Gene Kelly,Justin Timberlake,Sean Astin,Kevin Hart
216,Fred Astaire,Dick Van Dyke,Irrfan Khan,Paul Dano
217,Bradley Cooper,Zac Efron,Michael C. Hall,Lenny Kravitz
218,Jude Law,Jesse Eisenberg,Roy Scheider,Bill Hader
219,Robert Pattinson,Owen Wilson,Casey Affleck,Rob Lowe
220,Paul Giamatti,Jason Bateman,Gary Busey,David Spade
221,Forest Whitaker,Tyler Perry,Norman Reedus,Rob Riggle
222,Jared Leto,Liam Hemsworth,Jeff Daniels,Lance Henriksen
223,Jonah Hill,William Shatner,Stanley Tucci,Richard Jenkins
224,Michael Fassbender,Shah Rukh Khan,Kiefer Sutherland,Mike Vogel
225,Carol Burnett,Thora Birch,Léa Seydoux,Michael Ealy
226,Jessica Tandy,Claire Trevor,Dakota Johnson,Freddie Prinze Jr.
227,Helen Hunt,Celeste Holm,Julie Delpy,Jamie Bell
228,Patricia Arquette,Anne Baxter,Linda Hamilton,Danny McBride
229,Carmen Miranda,Queen Latifah,Carrie Fisher,Jonathan Rhys Meyers
230,Kate Hudson,Ethel Barrymore,Pam Grier,Michael Cera
231,Catherine Zeta-Jones,Rosario Dawson,Björk,Bill Paxton
232,Cameron Diaz,Teresa Wright,Emily Browning,Chris Klein
233,Debbie Reynolds,Mary Astor,Juliette Lewis,Ioan Gruffudd
234,Rita Hayworth,Jane Darwell,Sarah Jessica Parker,Andrew Lincoln
235,Maureen O'Hara,Alicia Vikander,Piper Laurie,Bill Pullman
236,Myrna Loy,Mia Wasikowska,Miley Cyrus,Craig Robinson
237,Lena Headey,Abigail Breslin,Lily Tomlin,Charlie Day
238,Toni Collette,Gale Sondergaard,Anna Friel,Andy Samberg
239,Laura Linney,Melissa McCarthy,Gloria Stuart,Garrett Hedlund
240,Marlene Dietrich,Tina Fey,Talia Shire,Cam Gigandet
241,Carole Lombard,Zoe Saldana,Donna Reed,John Krasinski
242,Jean Arthur,Elisabeth Moss,Sue Lyon,Kevin James
243,Jean Harlow,Adrianne Palicki,Olivia Newton-John,Breckin Meyer
244,Ginger Rogers,Jennifer Garner,Minnie Driver,Christopher Reeve
245,Mary Pickford,Kristen Wiig,Teri Garr,Rufus Sewell
246,Mae West,June Squibb,Keri Russell,John Turturro
247,Gillian Anderson,Sally Hawkins,Jean Seberg,Ned Beatty
248,Emma Watson,Kaley Cuoco,Sarah Polley,John Cleese
249,Meg Ryan,Naomi Watts,Kate Capshaw,James McAvoy
