,Name,Genre,Director,Cast
289,Big Fish,Adventure/Drama/Fantasy,Tim Burton,Ewan McGregor/Albert Finney
290,The Adventures of Robin Hood,Action/Adventure/Romance,Michael Curtiz,Errol Flynn/Olivia de Havilland
291,This Is Spinal Tap,Comedy/Music,Rob Reiner,Rob Reiner/Michael McKean
292,Brazil,Drama/Sci-Fi,Terry Gilliam,Jonathan Pryce/Kim Greist
293,Blood Diamond,Adventure/Drama/Thriller,Edward Zwick,Leonardo DiCaprio/Djimon Hounsou
294,Persepolis,Animation/Biography/Drama,Vincent Paronnaud,Chiara Mastroianni/Catherine Deneuve
295,Captain Phillips,Biography/Drama/Thriller,Paul Greengrass,Tom Hanks/Barkhad Abdi
296,The Truman Show,Comedy/Drama/Sci-Fi,Peter Weir,Jim Carrey/Ed Harris
297,The Artist,Comedy/Drama/Romance,Michel Hazanavicius,Jean Dujardin/Bérénice Bejo
298,The Straight Story,Biography/Drama,David Lynch,Richard Farnsworth/Sissy Spacek
299,JFK,Drama/History/Thriller,Oliver Stone,Kevin Costner/Gary Oldman
300,The Searchers,Adventure/Drama/Western,John Ford,John Wayne/Jeffrey Hunter
301,Talk to Her,Drama/Mystery/Romance,Pedro Almodóvar,Rosario Flores/Javier Cámara
302,Jurassic Park,Adventure/Sci-Fi/Thriller,Steven Spielberg,Sam Neill/Laura Dern
303,Dancer in the Dark,Crime/Drama/Musical,Lars von Trier,Björk/Catherine Deneuve
304,The Lady Vanishes,Mystery/Thriller,Alfred Hitchcock,Margaret Lockwood/Michael Redgrave
305,Dallas Buyers Club,Biography/Drama,Jean-Marc Vallée,Matthew McConaughey/Jennifer Garner
306,Ratatouille,Animation/Comedy/Family,Brad Bird,Brad Garrett/Lou Romano
307,Magnolia,Drama,Paul Thomas Anderson,Tom Cruise/Jason Robards
308,The Exorcist,Horror,William Friedkin,Ellen Burstyn/Max von Sydow
309,Doctor Zhivago,Drama/Romance/War,David Lean,Omar Sharif/Julie Christie
310,Days of Heaven,Drama/Romance,Terrence Malick,Richard Gere/Brooke Adams
311,Battleship Potemkin,Drama/History,Sergei M. Eisenstein,Aleksandr Antonov/Vladimir Barsky
312,Rain Man,Drama,Barry Levinson,Dustin Hoffman/Tom Cruise
313,Pink Floyd - The Wall,Animation/Drama/Fantasy,Alan Parker,Bob Geldof/Christine Hargreaves
314,Head-on (2004),Drama/Romance,Fatih Akin,Birol Ünel/Sibel Kekilli
315,In the Heat of the Night,Crime/Drama/Mystery,Norman Jewison,Sidney Poitier/Rod Steiger
316,Shadow of a Doubt,Thriller,Alfred Hitchcock,Teresa Wright/Joseph Cotten
317,The Hunger Games: Catching Fire,Adventure/Mystery/Sci-Fi,Francis Lawrence,Jennifer Lawrence/Josh Hutcherson
318,All the President's Men,Biography/Drama/History,Alan J. Pakula,Dustin Hoffman/Robert Redford
319,Aguirre: The Wrath of God,Adventure/Drama/History,Werner Herzog,Klaus Kinski/Ruy Guerra
320,Night of the Living Dead,Drama/Horror/Mystery,George A. Romero,Duane Jones/Judith O'Dea
321,Shaun of the Dead,Comedy/Horror,Edgar Wright,Simon Pegg/Nick Frost
322,District 9,Action/Sci-Fi/Thriller,Neill Blomkamp,Sharlto Copley/David James
323,Nosferatu,Fantasy/Horror,F.W. Murnau,Max Schreck/Greta Schröder
324,No Man's Land,Drama/War,Danis Tanovic,Branko Djuric/Rene Bitorajac
325,Let the Right One In,Drama/Horror,Tomas Alfredson,Kåre Hedebrant/Lina Leandersson
326,Dances with Wolves,Adventure/Drama/Western,Kevin Costner,Kevin Costner/Mary McDonnell
327,Cinderella Man,Biography/Drama/Sport,Ron Howard,Russell Crowe/Renée Zellweger
328,Frankenstein,Action/Fantasy/Sci-Fi,Stuart Beattie,Aaron Eckhart/Bill Nighy
329,Three Colors: Blue,Drama/Music/Mystery,Krzysztof Kieslowski,Juliette Binoche/Zbigniew Zamachowski
330,The Man from Earth,Drama/Romance/Sci-Fi,Richard Schenkman,David Lee Smith/Tony Todd
331,Serenity,Action/Adventure/Sci-Fi,Joss Whedon,Nathan Fillion/Gina Torres
332,Moon,Drama/Mystery/Sci-Fi,Duncan Jones,Sam Rockwell/Kevin Spacey
333,Hannah and Her Sisters,Comedy/Drama,Woody Allen,Mia Farrow/Dianne Wiest
334,The Sound of Music,Biography/Drama/Family,Robert Wise,Julie Andrews/Christopher Plummer
335,Edward Scissorhands,Drama/Fantasy/Romance,Tim Burton,Johnny Depp/Winona Ryder
336,Kill Bill: Vol. 2,Action/Crime/Drama,Quentin Tarantino,Uma Thurman/David Carradine
337,Ghost in the Shell,Animation/Action/Mystery,Mamoru Oshii,Atsuko Tanaka/Iemasa Kayumi
338,Rosemary's Baby,Drama/Horror,Roman Polanski,Mia Farrow/John Cassavetes
339,The Notebook,Drama/Romance,Nick Cassavetes,Gena Rowlands/James Garner
340,Mystic River,Crime/Drama/Mystery,Clint Eastwood,Sean Penn/Tim Robbins
341,The African Queen,Adventure/Drama/Romance,John Huston,Humphrey Bogart/Katharine Hepburn
342,Once,Drama/Music/Romance,John Carney,Glen Hansard/Markéta Irglová
343,Midnight Cowboy,Drama,John Schlesinger,Dustin Hoffman/Jon Voight
344,True Romance,Crime/Drama/Romance,Tony Scott,Christian Slater/Patricia Arquette
345,In Bruges,Comedy/Crime/Drama,Martin McDonagh,Colin Farrell/Brendan Gleeson
346,Glory,Drama/History/War,Edward Zwick,Matthew Broderick/Denzel Washington
347,Mulholland Drive,Drama/Mystery/Thriller,David Lynch,Naomi Watts/Laura Harring
348,The Untouchables,Crime/Drama/Thriller,Brian De Palma,Kevin Costner/Sean Connery
349,King Kong,Action/Adventure/Drama,Peter Jackson,Naomi Watts/Jack Black
350,Spartacus,Adventure/Biography/Drama,Stanley Kubrick,Kirk Douglas/Laurence Olivier
351,Breathless,Action/Drama/Romance,Jim McBride,Richard Gere/Valérie Kaprisky
352,The Killer,Action/Crime/Drama,John Woo,Yun-Fat Chow/Danny Lee
353,The Blues Brothers,Action/Comedy/Crime,John Landis,John Belushi/Dan Aykroyd
354,The Incredibles,Animation/Action/Adventure,Brad Bird,Craig T. Nelson/Samuel L. Jackson
355,Letters from Iwo Jima,Drama/History/War,Clint Eastwood,Ken Watanabe/Kazunari Ninomiya
356,Planet of the Apes,Adventure/Sci-Fi,Franklin J. Schaffner,Charlton Heston/Roddy McDowall
357,Aladdin,Animation/Adventure/Comedy,Ron Clements,Scott Weinger/Robin Williams
358,The Conversation,Drama/Mystery/Thriller,Francis Ford Coppola,Gene Hackman/John Cazale
359,Casino Royale,Action/Adventure/Thriller,Martin Campbell,Daniel Craig/Eva Green
360,Hero,Action/Drama/Romance,Nikkhil Advani,Suraj Pancholi/Athiya Shetty
361,Hard Boiled,Action/Crime/Drama,John Woo,Yun-Fat Chow/Tony Chiu Wai Leung
362,Almost Famous,Adventure/Comedy/Drama,Cameron Crowe,Billy Crudup/Patrick Fugit
363,The Remains of the Day,Drama/Romance,James Ivory,Anthony Hopkins/Emma Thompson
364,Catch Me If You Can,Biography/Crime/Drama,Steven Spielberg,Leonardo DiCaprio/Tom Hanks
365,The Wrestler,Drama/Sport,Darren Aronofsky,Mickey Rourke/Marisa Tomei
366,Avatar,Action/Adventure/Fantasy,James Cameron,Sam Worthington/Zoe Saldana
367,Bonnie and Clyde,Action/Biography/Crime,Arthur Penn,Warren Beatty/Faye Dunaway
368,Dead Poets Society,Comedy/Drama,Peter Weir,Robin Williams/Robert Sean Leonard
369,The Breakfast Club,Comedy/Drama,John Hughes,Emilio Estevez/Judd Nelson
370,Freaks,Drama/Horror,Tod Browning,Wallace Ford/Leila Hyams
371,Ed Wood,Biography/Comedy/Drama,Tim Burton,Johnny Depp/Martin Landau
372,Scent of a Woman,Drama,Martin Brest,Al Pacino/Chris O'Donnell
373,The Bride of Frankenstein,Comedy/Drama/Horror,James Whale,Boris Karloff/Elsa Lanchester
374,Toy Story 2,Animation/Adventure/Comedy,John Lasseter,Tom Hanks/Tim Allen
375,The Killing Fields,Drama/History/War,Roland Joffé,Sam Waterston/Haing S. Ngor
376,Crash,Crime/Drama/Thriller,Paul Haggis,Don Cheadle/Sandra Bullock
377,The Right Stuff,Adventure/Drama/History,Philip Kaufman,Sam Shepard/Scott Glenn
378,The Man Who Would Be King,Adventure,John Huston,Sean Connery/Michael Caine
379,All About My Mother,Drama,Pedro Almodóvar,Cecilia Roth/Marisa Paredes
380,The Insider (1999),Biography/Drama/Thriller,Michael Mann,Russell Crowe/Al Pacino
381,The Iron Giant,Animation/Action/Adventure,Brad Bird,Eli Marienthal/Harry Connick Jr.
382,A Prophet,Crime/Drama,Jacques Audiard,Tahar Rahim/Niels Arestrup
383,Children of Men,Drama/Sci-Fi/Thriller,Alfonso Cuarón,Julianne Moore/Clive Owen
384,Miller's Crossing,Crime/Drama/Thriller,Joel Coen,Gabriel Byrne/Albert Finney
385,Badlands,Crime/Drama,Terrence Malick,Martin Sheen/Sissy Spacek
386,My Fair Lady,Drama/Family/Musical,George Cukor,Audrey Hepburn/Rex Harrison
387,The Pursuit of Happyness,Biography/Drama,Gabriele Muccino,Will Smith/Thandie Newton
388,The Outlaw Josey Wales,Western,Clint Eastwood,Clint Eastwood/Sondra Locke
389,Mr. Nobody,Drama/Fantasy/Romance,Jaco Van Dormael,Jared Leto/Sarah Polley
390,The Boondock Saints,Action/Crime/Thriller,Troy Duffy,Willem Dafoe/Sean Patrick Flanery
391,Breaking the Waves,Drama/Romance,Lars von Trier,Emily Watson/Stellan Skarsgård
392,The Bourne Identity,Action/Mystery/Thriller,Doug Liman,Franka Potente/Matt Damon
393,Nine Queens,Crime/Drama/Thriller,Fabián Bielinsky,Ricardo Darín/Gastón Pauls
394,"Crouching Tiger, Hidden Dragon",Action/Adventure/Fantasy,Ang Lee,Yun-Fat Chow/Michelle Yeoh
395,Lilya 4-Ever,Crime/Drama,Lukas Moodysson,Oksana Akinshina/Artyom Bogucharskiy
396,"4 Months, 3 Weeks and 2 Days",Drama,Cristian Mungiu,Anamaria Marinca/Vlad Ivanov
397,The Fall,Adventure/Comedy/Drama,Tarsem Singh,Lee Pace/Catinca Untaru
398,Iron Man,Action/Adventure/Sci-Fi,Jon Favreau,Robert Downey Jr./Gwyneth Paltrow
399,Star Trek Into Darkness,Action/Adventure/Sci-Fi,J.J. Abrams,Chris Pine/Zachary Quinto
400,Shrek,Animation/Adventure/Comedy,Andrew Adamson,Mike Myers/Eddie Murphy
401,The Fighter,Biography/Drama/Sport,David O. Russell,Mark Wahlberg/Christian Bale
402,Do the Right Thing,Comedy/Drama,Spike Lee,Danny Aiello/Ossie Davis
403,Cabaret,Drama/Musical,Bob Fosse,Liza Minnelli/Michael York
404,Halloween,Horror/Thriller,John Carpenter,Donald Pleasence/Jamie Lee Curtis
405,Carlito's Way,Crime/Drama,Brian De Palma,Al Pacino/Sean Penn
406,Walk the Line,Biography/Drama/Music,James Mangold,Joaquin Phoenix/Reese Witherspoon
407,Little Miss Sunshine,Comedy/Drama,Jonathan Dayton,Steve Carell/Toni Collette
408,The Chorus,Drama/Music,Christophe Barratier,Gérard Jugnot/François Berléand
409,Glengarry Glen Ross,Crime/Drama/Mystery,James Foley,Al Pacino/Jack Lemmon
410,The Man From Nowhere,Action/Crime/Thriller,Jeong-beom Lee,Bin Won/Sae-ron Kim
411,Taken,Action/Thriller,Pierre Morel,Liam Neeson/Maggie Grace
412,The 39 Steps,Mystery/Thriller,Alfred Hitchcock,Robert Donat/Madeleine Carroll
413,Silver Linings Playbook,Comedy/Drama/Romance,David O. Russell,Bradley Cooper/Jennifer Lawrence
414,Clerks,Comedy,Kevin Smith,Brian O'Halloran/Jeff Anderson
415,The Ten Commandments,Adventure/Biography/Drama,Cecil B. DeMille,Charlton Heston/Yul Brynner
416,The Girl with the Dragon Tattoo,Crime/Drama/Mystery,David Fincher,Daniel Craig/Rooney Mara
417,Down by Law,Comedy/Crime/Drama,Jim Jarmusch,Tom Waits/John Lurie
418,Ferris Bueller's Day Off,Comedy,John Hughes,Matthew Broderick/Alan Ruck
419,The World's Fastest Indian,Biography/Drama/Sport,Roger Donaldson,Anthony Hopkins/Diane Ladd
420,Hot Fuzz,Action/Comedy/Mystery,Edgar Wright,Simon Pegg/Nick Frost
421,My Left Foot (1989),Biography/Drama,Jim Sheridan,Daniel Day-Lewis/Brenda Fricker
422,Lone Survivor,Action/Biography/Drama,Peter Berg,Mark Wahlberg/Taylor Kitsch
423,Office Space,Comedy,Mike Judge,Ron Livingston/Jennifer Aniston
424,Boogie Nights,Drama,Paul Thomas Anderson,Mark Wahlberg/Julianne Moore
425,Kiki's Delivery Service,Animation/Adventure/Drama,Hayao Miyazaki,Kirsten Dunst/Minami Takayama
426,Ordinary People,Drama,Robert Redford,Donald Sutherland/Mary Tyler Moore
427,Tangled,Animation/Adventure/Comedy,Nathan Greno,Mandy Moore/Zachary Levi
428,Black Book,Drama/Thriller/War,Paul Verhoeven,Carice van Houten/Sebastian Koch
429,Evil Dead II,Comedy/Fantasy/Horror,Sam Raimi,Bruce Campbell/Sarah Berry
430,The Day the Earth Stood Still,Drama/Sci-Fi/Thriller,Scott Derrickson,Keanu Reeves/Jennifer Connelly
431,The Motorcycle Diaries,Adventure/Biography/Drama,Walter Salles,Gael García Bernal/Rodrigo De la Serna
432,About Time 2013,Comedy/Drama/Fantasy,Richard Curtis,Domhnall Gleeson/Rachel McAdams
433,Hamlet,Drama,Kenneth Branagh,Kenneth Branagh/Julie Christie
434,E.T. the Extra-Terrestrial,Family/Sci-Fi,Steven Spielberg,Henry Thomas/Drew Barrymore
435,Drive (2011),Crime/Drama,Nicolas Winding Refn,Ryan Gosling/Carey Mulligan
436,Predator,Action/Horror/Sci-Fi,John McTiernan,Arnold Schwarzenegger/Carl Weathers
437,Tombstone,Action/Biography/Drama,George P. Cosmatos,Kurt Russell/Val Kilmer
438,Argo,Biography/Drama/History,Ben Affleck,Ben Affleck/Bryan Cranston
439,Open Your Eyes,Drama/Mystery/Romance,Alejandro Amenábar,Eduardo Noriega/Penélope Cruz
440,Wreck-It Ralph,Animation/Adventure/Comedy,Rich Moore,John C. Reilly/Jack McBrayer
441,In America (2002),Drama,Jim Sheridan,Paddy Considine/Samantha Morton
442,Fantasia,Animation/Family/Fantasy,James Algar,Leopold Stokowski/Deems Taylor
443,Amour,Drama/Romance,Michael Haneke,Jean-Louis Trintignant/Emmanuelle Riva
444,Hangover,Comedy,Todd Phillips,Zach Galifianakis/Bradley Cooper
445,The French Connection,Action/Crime/Drama,William Friedkin,Gene Hackman/Roy Scheider
446,Invasion of the Body Snatchers,Horror/Sci-Fi,Philip Kaufman,Donald Sutherland/Brooke Adams
447,The Triplets of Belleville,Animation/Comedy/Drama,Sylvain Chomet,Michèle Caucheteux/Jean-Claude Donda
448,The Magnificent Seven,Action/Adventure/Western,John Sturges,Yul Brynner/Steve McQueen
449,Porco Rosso,Animation/Adventure/Comedy,Hayao Miyazaki,Shûichirô Moriyama/Tokiko Katô
450,Rebel Without a Cause,Drama,Nicholas Ray,James Dean/Natalie Wood
451,The Curious Case of Benjamin Button,Drama/Fantasy/Romance,David Fincher,Brad Pitt/Cate Blanchett
452,Gattaca,Drama/Sci-Fi/Thriller,Andrew Niccol,Ethan Hawke/Uma Thurman
453,(500) Days of Summer,Comedy/Drama/Romance,Marc Webb,Zooey Deschanel/Joseph Gordon-Levitt
454,I Saw the Devil,Action/Crime/Drama,Jee-woon Kim,Byung-hun Lee/Min-sik Choi
455,The Social Network,Biography/Drama,David Fincher,Jesse Eisenberg/Andrew Garfield
456,Run Lola Run,Crime/Drama/Thriller,Tom Tykwer,Franka Potente/Moritz Bleibtreu
457,From Here to Eternity,Drama/Romance/War,Fred Zinnemann,Burt Lancaster/Montgomery Clift
458,The Girl with the Dragon Tattoo,Crime/Drama/Mystery,David Fincher,Daniel Craig/Rooney Mara
459,Moonrise Kingdom,Adventure/Comedy/Drama,Wes Anderson,Jared Gilman/Kara Hayward
460,American Gangster,Biography/Crime/Drama,Ridley Scott,Denzel Washington/Russell Crowe
461,Misery,Crime/Drama/Thriller,Rob Reiner,James Caan/Kathy Bates
462,Mississippi Burning,Crime/Drama/History,Alan Parker,Gene Hackman/Willem Dafoe
463,Blue Velvet,Drama/Mystery/Thriller,David Lynch,Isabella Rossellini/Kyle MacLachlan
464,"O Brother, Where Art Thou?",Adventure/Comedy/Crime,Joel Coen,George Clooney/John Turturro
465,Repulsion,Drama/Horror/Thriller,Roman Polanski,Catherine Deneuve/Ian Hendry
466,The Boy in the Striped Pajamas,Drama/War,Mark Herman,Asa Butterfield/David Thewlis
467,Airplane!,Comedy,Jim Abrahams,Robert Hays/Julie Hagerty
468,The Last of the Mohicans,Action/Adventure/Drama,Michael Mann,Daniel Day-Lewis/Madeleine Stowe
469,Happiness,Comedy/Drama,Todd Solondz,Jane Adams/Jon Lovitz
470,Night on Earth,Comedy/Drama,Jim Jarmusch,Winona Ryder/Gena Rowlands
471,Dirty Harry,Action/Crime/Drama,Don Siegel,Clint Eastwood/Andrew Robinson
472,Empire of the Sun,Drama/History/War,Steven Spielberg,Christian Bale/John Malkovich
473,Finding Neverland,Biography/Drama/Family,Marc Forster,Johnny Depp/Kate Winslet
474,The Last Emperor,Biography/Drama/History,Bernardo Bertolucci,John Lone/Joan Chen
475,Atonement,Drama/Mystery/Romance,Joe Wright,Keira Knightley/James McAvoy
476,The Dirty Dozen (1967),Action/Adventure/Comedy,Robert Aldrich,Lee Marvin/Ernest Borgnine
477,Lost in Translation,Drama,Sofia Coppola,Bill Murray/Scarlett Johansson
478,X-Men: First Class (2011),Action/Adventure/Sci-Fi,Matthew Vaughn,James McAvoy/Michael Fassbender
479,The Experiment,Drama/Thriller,Oliver Hirschbiegel,Moritz Bleibtreu/Christian Berkel
480,Saving Mr. Banks,Biography/Comedy/Drama,John Lee Hancock,Emma Thompson/Tom Hanks
481,3:10 to Yuma,Adventure/Crime/Drama,James Mangold,Russell Crowe/Christian Bale
482,Breakfast at Tiffany's,Comedy/Drama/Romance,Blake Edwards,Audrey Hepburn/George Peppard
483,Kick-Ass,Action/Comedy,Matthew Vaughn,Aaron Taylor-Johnson/Nicolas Cage
484,October Sky,Biography/Drama/Family,Joe Johnston,Jake Gyllenhaal/Chris Cooper
485,The Longest Day,Action/Drama/History,Ken Annakin,John Wayne/Robert Ryan
486,My Name Is Khan,Adventure/Drama/Thriller,Karan Johar,Shah Rukh Khan/Kajol
487,Fantastic Mr. Fox,Animation/Adventure/Comedy,Wes Anderson,George Clooney/Meryl Streep
488,Apocalypto,Action/Adventure/Drama,Mel Gibson,Gerardo Taracena/Raoul Max Trujillo
489,Changeling,Crime/Drama/Mystery,Clint Eastwood,Angelina Jolie/Colm Feore
490,Being John Malkovich,Comedy/Drama/Fantasy,Spike Jonze,John Cusack/Cameron Diaz
491,Battle Royale,Adventure/Drama/Sci-Fi,Kinji Fukasaku,Tatsuya Fujiwara/Aki Maeda
492,Goldfinger,Action/Adventure/Thriller,Guy Hamilton,Sean Connery/Gert Fröbe
493,Ghostbusters,Action/Adventure/Comedy,Ivan Reitman,Bill Murray/Dan Aykroyd
494,Lucky Number Slevin,Crime/Drama/Mystery,Paul McGuigan,Josh Hartnett/Ben Kingsley
495,The Fugitive,Action/Adventure/Crime,Andrew Davis,Harrison Ford/Tommy Lee Jones
496,The Name of the Rose,Crime/Mystery/Thriller,Jean-Jacques Annaud,Sean Connery/Christian Slater
497,Blazing Saddles,Comedy/Western,Mel Brooks,Cleavon Little/Gene Wilder
498,The White Ribbon,Drama/Mystery,Michael Haneke,Christian Friedel/Ernst Jacobi
499,The Color Purple,Drama,Steven Spielberg,Danny Glover/Whoopi Goldberg
500,The Birds,Drama/Horror/Mystery,Alfred Hitchcock,Rod Taylor/Tippi Hedren
501,50/50,Comedy/Drama/Romance,Jonathan Levine,Joseph Gordon-Levitt/Seth Rogen
502,Kung Fu Hustle,Action/Comedy/Crime,Stephen Chow,Stephen Chow/Wah Yuen
503,300,Action/Drama/Fantasy,Zack Snyder,Gerard Butler/Lena Headey
504,Dark City,Action/Drama/Fantasy,Alex Proyas,Rufus Sewell/Kiefer Sutherland
505,Deliverance,Adventure/Drama/Mystery,John Boorman,Jon Voight/Burt Reynolds
506,Skyfall,Action/Adventure/Thriller,Sam Mendes,Daniel Craig/Javier Bardem
507,Donnie Brasco,Biography/Crime/Drama,Mike Newell,Al Pacino/Johnny Depp
508,Dead Man's Shoes,Crime/Drama/Thriller,Shane Meadows,Paddy Considine/Gary Stretch
509,The Goonies,Adventure/Comedy/Family,Richard Donner,Sean Astin/Josh Brolin
510,Sabrina,Comedy/Drama,Sydney Pollack,Harrison Ford/Julia Ormond
511,Serpico,Biography/Crime/Drama,Sidney Lumet,Al Pacino/John Randolph
512,Ray,Biography/Drama/Music,Taylor Hackford,Jamie Foxx/Regina King
513,Control,Crime/Sci-Fi/Thriller,Tim Hunter,Ray Liotta/Willem Dafoe
514,The Game,Drama/Mystery/Thriller,David Fincher,Michael Douglas/Deborah Kara Unger
515,What's Eating Gilbert Grape,Drama,Lasse Hallström,Johnny Depp/Leonardo DiCaprio
516,Back to the Future Part II,Adventure/Comedy/Sci-Fi,Robert Zemeckis,Michael J. Fox/Christopher Lloyd
517,Delicatessen,Comedy/Crime,Marc Caro,Marie-Laure Dougnac/Dominique Pinon
518,The Station Agent,Comedy/Drama,Tom McCarthy,Peter Dinklage/Patricia Clarkson
519,Boyz n the Hood,Crime/Drama,John Singleton,Cuba Gooding Jr./Laurence Fishburne
520,Waking Life,Animation/Drama/Fantasy,Richard Linklater,Ethan Hawke/Trevor Jack Brooks
521,Dead Man,Drama/Fantasy/Western,Jim Jarmusch,Johnny Depp/Gary Farmer
522,Stardust,Adventure/Family/Fantasy,Matthew Vaughn,Charlie Cox/Claire Danes
523,A Very Long Engagement,Drama/Mystery/Romance,Jean-Pierre Jeunet,Audrey Tautou/Gaspard Ulliel
524,Mysterious Skin,Drama,Gregg Araki,Brady Corbet/Joseph Gordon-Levitt
525,Love Me If You Dare,Comedy/Drama/Romance,Yann Samuell,Guillaume Canet/Marion Cotillard
526,21 Grams,Drama,Alejandro G. Iñárritu,Sean Penn/Benicio Del Toro
527,Rushmore,Comedy/Drama,Wes Anderson,Jason Schwartzman/Bill Murray
528,Adaptation.,Comedy/Drama,Spike Jonze,Nicolas Cage/Meryl Streep
529,As Good as It Gets,Comedy/Drama/Romance,James L. Brooks,Jack Nicholson/Helen Hunt
530,Kramer vs. Kramer,Drama,Robert Benton,Dustin Hoffman/Meryl Streep
531,Good Bye Lenin!,Drama/Romance,Wolfgang Becker,Daniel Brühl/Katrin Saß
532,The Machinist,Drama/Thriller,Brad Anderson,Christian Bale/Jennifer Jason Leigh
533,Mary Poppins,Comedy/Family/Fantasy,Robert Stevenson,Julie Andrews/Dick Van Dyke
534,Road to Perdition,Crime/Drama/Thriller,Sam Mendes,Tom Hanks/Tyler Hoechlin
535,Zombieland,Adventure/Comedy/Horror,Ruben Fleischer,Jesse Eisenberg/Emma Stone
536,Man on Fire,Action/Crime/Drama,Tony Scott,Denzel Washington/Christopher Walken
537,Show Me Love,Comedy/Drama/Romance,Lukas Moodysson,Alexandra Dahlström/Rebecka Liljeberg
538,Barton Fink,Comedy/Drama,Joel Coen,John Turturro/John Goodman
539,Sympathy for Mr. Vengeance,Crime/Drama/Thriller,Chan-wook Park,Kang-ho Song/Ha-kyun Shin
540,A Bronx Tale,Crime/Drama,Robert De Niro,Robert De Niro/Chazz Palminteri
541,The Sandlot,Comedy/Drama/Family,David M. Evans,Tom Guiry/Mike Vitar
542,Frost/Nixon (2008),Drama,Ron Howard,Frank Langella/Michael Sheen
543,The Bourne Supremacy,Action/Mystery/Thriller,Paul Greengrass,Matt Damon/Franka Potente
544,Ocean's Eleven,Crime/Thriller,Steven Soderbergh,George Clooney/Brad Pitt
545,Fear and Loathing in Las Vegas,Adventure/Comedy/Drama,Terry Gilliam,Johnny Depp/Benicio Del Toro
546,The King of Comedy,Comedy/Crime/Drama,Martin Scorsese,Robert De Niro/Jerry Lewis
547,The Last King of Scotland,Biography/Drama/History,Kevin Macdonald,James McAvoy/Forest Whitaker
548,25th Hour,Drama,Spike Lee,Edward Norton/Barry Pepper
549,William Shatner - Star Trek II: The Wrath of Khan,Action/Adventure/Sci-Fi,Nicholas Meyer,William Shatner/Leonard Nimoy
550,Harry Potter and the Prisoner of Azkaban,Adventure/Family/Fantasy,Alfonso Cuarón,Daniel Radcliffe/Emma Watson
551,Gone Baby Gone,Crime/Drama/Mystery,Ben Affleck,Morgan Freeman/Ed Harris
552,The Purple Rose of Cairo,Comedy/Fantasy/Romance,Woody Allen,Mia Farrow/Jeff Daniels
553,Short Cuts,Comedy/Drama,Robert Altman,Andie MacDowell/Julianne Moore
554,Les Misérables,Drama/Musical/Romance,Tom Hooper,Hugh Jackman/Russell Crowe
555,Forbidden Planet,Action/Adventure/Sci-Fi,Fred M. Wilcox,Walter Pidgeon/Anne Francis
556,The City of Lost Children,Fantasy/Sci-Fi,Marc Caro,Ron Perlman/Daniel Emilfork
557,Love Actually,Comedy/Drama/Romance,Richard Curtis,Hugh Grant/Martine McCutcheon
558,Match Point,Drama/Romance/Thriller,Woody Allen,Scarlett Johansson/Jonathan Rhys Meyers
559,Boy A,Drama,John Crowley,Andrew Garfield/Peter Mullan
560,Detachment,Drama,Tony Kaye,Adrien Brody/Christina Hendricks
561,Black Hawk Down,Drama/History/War,Ridley Scott,Josh Hartnett/Ewan McGregor
562,The Count Of Monte Cristo,Action/Adventure/Drama,Kevin Reynolds,Jim Caviezel/Guy Pearce
563,Remember The Titans,Biography/Drama/Sport,Boaz Yakin,Denzel Washington/Will Patton
564,The Producers,Comedy/Musical,Susan Stroman,Nathan Lane/Matthew Broderick
565,Awakenings,Biography/Drama,Penny Marshall,Robert De Niro/Robin Williams
566,The Last Samurai,Action/Drama/History,Edward Zwick,Tom Cruise/Ken Watanabe
567,Flipped,Comedy/Drama/Romance,Rob Reiner,Madeline Carroll/Callan McAuliffe
568,The Butterfly Effect,Sci-Fi/Thriller,Eric Bress,Ashton Kutcher/Amy Smart
569,Snow White and the Seven Dwarfs,Animation/Family/Fantasy,William Cottrell,Adriana Caselotti/Harry Stockwell
570,Sense and Sensibility,Drama/Romance,Ang Lee,Emma Thompson/Kate Winslet
571,Papurika,Animation/Adventure/Crime,Satoshi Kon,Megumi Hayashibara/Tôru Emori
572,Close Encounters of the Third Kind,Drama/Sci-Fi,Steven Spielberg,Richard Dreyfuss/François Truffaut
573,Enter the Dragon,Action/Crime/Drama,Robert Clouse,Bruce Lee/John Saxon
574,Ponyo,Animation/Adventure/Family,Hayao Miyazaki,Cate Blanchett/Matt Damon
575,Brokeback Mountain,Drama/Romance,Ang Lee,Jake Gyllenhaal/Heath Ledger
576,Blood Simple,Crime/Thriller,Joel Coen,John Getz/Frances McDormand
577,The Blind Side,Biography/Drama/Sport,John Lee Hancock,Quinton Aaron/Sandra Bullock
578,"Three Colors: White (1994, Krzysztof Kieslowski)",Comedy/Drama/Romance,Krzysztof Kieslowski,Zbigniew Zamachowski/Julie Delpy
579,The Visitor,Drama,Tom McCarthy,Richard Jenkins/Haaz Sleiman
580,The Warriors,Action/Thriller,Walter Hill,Michael Beck/James Remar
581,Grindhouse,Action/Horror/Thriller,Robert Rodriguez,Kurt Russell/Rose McGowan
582,Star Wars: Episode III - Revenge of the Sith,Action/Adventure/Fantasy,George Lucas,Hayden Christensen/Natalie Portman
583,Shine,Biography/Drama/Music,Scott Hicks,Geoffrey Rush/Armin Mueller-Stahl
584,True Grit,Adventure/Drama/Western,Ethan Coen,Jeff Bridges/Matt Damon
