,Name,Genre,Director,Cast
66,Grave of the Fireflies,Animation/Drama/War,Isao Takahata,Tsutomu Tatsumi/Ayano Shiraishi
67,Double Indemnity,Crime/Drama/Film-Noir,Billy Wilder,Fred MacMurray/Barbara Stanwyck
68,Das Boot,Adventure/Drama/Thriller,Wolfgang Petersen,Jürgen Prochnow/Herbert Grönemeyer
69,American Beauty,Drama/Romance,Sam Mendes,Kevin Spacey/Annette Bening
70,Witness for the Prosecution (1957),Crime/Drama/Mystery,Billy Wilder,Tyrone Power/Marlene Dietrich
71,Citizen Kane,Drama/Mystery,Orson Welles,Orson Welles/Joseph Cotten
72,12 Years a Slave,Biography/Drama/History,Steve McQueen,Chiwetel Ejiofor/Michael Kenneth Williams
73,Toy Story 3,Animation/Adventure/Comedy,Lee Unkrich,Tom Hanks/Tim Allen
74,Vertigo,Mystery/Romance/Thriller,Alfred Hitchcock,James Stewart/Kim Novak
75,Aliens,Action/Adventure/Sci-Fi,James Cameron,Sigourney Weaver/Michael Biehn
76,Princess Mononoke,Animation/Adventure/Fantasy,Hayao Miyazaki,Yôji Matsuda/Yuriko Ishida
77,Her,Drama/Romance/Sci-Fi,Spike Jonze,Joaquin Phoenix/Amy Adams
78,To Kill a Mockingbird (1962),Crime/Drama,Robert Mulligan,Gregory Peck/John Megna
79,Once Upon a Time in America,Crime/Drama,Sergio Leone,Robert De Niro/James Woods
80,Oldboy,Action/Drama/Mystery,Spike Lee,Josh Brolin/Elizabeth Olsen
81,A Clockwork Orange,Crime/Drama/Sci-Fi,Stanley Kubrick,Malcolm McDowell/Patrick Magee
82,Lawrence of Arabia,Adventure/Biography/Drama,David Lean,Peter O'Toole/Alec Guinness
83,Bicycle Thieves,Drama,Vittorio De Sica,Lamberto Maggiorani/Enzo Staiola
84,All About Eve,Drama,Joseph L. Mankiewicz,Bette Davis/Anne Baxter
85,Requiem for a Dream,Drama,Darren Aronofsky,Ellen Burstyn/Jared Leto
86,Taxi Driver,Crime/Drama,Martin Scorsese,Robert De Niro/Jodie Foster
87,Braveheart,Biography/Drama/History,Mel Gibson,Mel Gibson/Sophie Marceau
88,The Kid,Comedy/Family/Fantasy,Jon Turteltaub,Bruce Willis/Spencer Breslin
