,Name,Genre,Director,Cast,Image,Trailer
17,The Eyes of My Mother (2016),Drama/Horror,Nicolas Pesce,Diana Agostini/Olivia Bond,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMDkyMDA4N15BMl5BanBnXkFtZTgwMjE5MDExMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi838841881?ref_=cs_ov_vi
18,A Street Cat Named Bob (2016),Comedy/Drama/Family,Roger Spottiswoode,Bob the Cat/Luke Treadaway,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MTI1MzE5Nl5BMl5BanBnXkFtZTgwMjQzNjEzOTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi3765155609?ref_=cs_ov_vi
19,Life on the Line (2015),Action/Drama,David Hackl,John Travolta/Kate Bosworth,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNjc0NTU0OF5BMl5BanBnXkFtZTgwMTE5NDgyMDI@._V1_UY209_CR1,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi3649680921?ref_=cs_ov_vi
20,Moana (2016),Animation/Adventure/Comedy/Family/Fantasy/Musical,Ron Clements,Dwayne Johnson/Jemaine Clement,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi2813048345?ref_=cs_ov_vi
21,Bad Santa 2 (2016),Comedy,Mark Waters,Billy Bob Thornton/Kathy Bates,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2MjE5Mzc4OF5BMl5BanBnXkFtZTgwMjc3NjEyMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi4187403801?ref_=cs_ov_vi
22,Lion (2016),Drama,Garth Davis,Rooney Mara/Nicole Kidman,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3NjkzNjg2MF5BMl5BanBnXkFtZTgwMDkyMzgzMDI@._V1_UY209_CR1,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1823716889?ref_=cs_ov_vi
23,Allied (2016),Action/Drama/History/Romance/Thriller/War,Robert Zemeckis,Brad Pitt/Marion Cotillard,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MTkzMDI1MF5BMl5BanBnXkFtZTgwMjQxNDE0MDI@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi4001674777?ref_=cs_ov_vi
24,Rules Don't Apply (2016),Comedy/Drama/Romance,Warren Beatty,Haley Bennett/Alden Ehrenreich,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MTk4MTI1M15BMl5BanBnXkFtZTgwOTIxMDQ0MDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1929098777?ref_=cs_ov_vi
25,Mifune: The Last Samurai (2015),Documentary,Steven Okazaki,Wataru Akashi/Kyôko Kagawa,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMTQ1NTkxNV5BMl5BanBnXkFtZTgwMjk2MDIzMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi3767383577?ref_=cs_ov_vi
26,La La Land (2016),Comedy/Drama/Musical/Romance,Damien Chazelle,Ryan Gosling/Emma Stone,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi2427500057?ref_=cs_ov_vi
27,Kidnap (2016),Action/Drama/Mystery/Thriller,Luis Prieto,Halle Berry/Lew Temple,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNTAxNDg0OF5BMl5BanBnXkFtZTgwNTgzNTA4OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi5224217?ref_=cs_ov_vi
28,Office Christmas Party (2016),Comedy,Josh Gordon,Kate McKinnon/Jamie Chung,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTI2MDE5MjQ3MV5BMl5BanBnXkFtZTgwNjA0MTUzMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi755545881?ref_=cs_ov_vi
29,The Bye Bye Man (2016),Horror/Thriller,Stacy Title,Douglas Smith/Lucien Laviscount,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxOTE5NzQwNF5BMl5BanBnXkFtZTgwOTMzMTc1ODE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1403827737?ref_=cs_ov_vi
30,Harry Benson: Shoot First (2016),Documentary,Justin Bare,Alec Baldwin/Gigi Benson,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzYxNTU4NTkzN15BMl5BanBnXkFtZTgwNTU0NzEzMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi831501849?ref_=cs_ov_vi
31,Rogue One: A Star Wars Story (2016),Action/Adventure/Sci-Fi,Gareth Edwards,Felicity Jones/Mads Mikkelsen,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi2056107545?ref_=cs_ov_vi
32,Collateral Beauty (2016),Drama,David Frankel,Will Smith/Keira Knightley,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5ODE4MTY2NV5BMl5BanBnXkFtZTgwMzM2NzEzMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi111326745?ref_=cs_ov_vi
33,A Kind of Murder (2016),Drama/Thriller,Andy Goddard,Haley Bennett/Jessica Biel,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjI4M2YwZjUtNGI5NS00MDBlLWJjODQtYmZlYTc4OTBmMmU5XkEyXkFqcGdeQXVyNjU2ODUzNzk@._V1_UY209_CR1,0,140,209_AL_.jpg",http://www.imdb.com
34,Passengers (2016),Adventure/Drama/Romance/Sci-Fi,Morten Tyldum,Jennifer Lawrence/Chris Pratt,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4NzA5OTg1OF5BMl5BanBnXkFtZTgwNzc0MjU5OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1586607641?ref_=cs_ov_vi
35,Sing (2016),Animation/Comedy/Drama/Family/Music,Garth Jennings,Matthew McConaughey/Reese Witherspoon,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1172485657?ref_=cs_ov_vi
36,Assassin's Creed (2016),Action/Adventure/Fantasy/Sci-Fi,Justin Kurzel,Michael Fassbender/Marion Cotillard,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2Mjc1ODY2OV5BMl5BanBnXkFtZTgwNTMzMTYzMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1056093721?ref_=cs_ov_vi
37,Patriots Day (2016),Drama/History/Thriller,Peter Berg,Melissa Benoist/Mark Wahlberg,"https://images-na.ssl-images-amazon.com/images/M/MV5BODYxMDc0NTg2Nl5BMl5BanBnXkFtZTgwNjY0NDYzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi42317337?ref_=cs_ov_vi
38,A Monster Calls (2016),Drama/Fantasy,J.A. Bayona,Sigourney Weaver/Felicity Jones,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1OTA5OTkyNV5BMl5BanBnXkFtZTgwODMwNDU5OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi631354905?ref_=cs_ov_vi
39,Silence (2016),Drama/History,Martin Scorsese,Andrew Garfield/Liam Neeson,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzODg5MjI2M15BMl5BanBnXkFtZTgwMzQyNjcyNzE@._V1_UY209_CR97,0,140,209_AL_.jpg",http://www.imdb.com
40,Why Him? (2016),Comedy,John Hamburg,Bryan Cranston/James Franco,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTEzOTM0MDg5MDNeQTJeQWpwZ15BbWU4MDE0MjYxMzkx._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi3063723801?ref_=cs_ov_vi
41,Gold (2016),Adventure/Drama/Thriller,Stephen Gaghan,Bryce Dallas Howard/Matthew McConaughey,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5ODk1OTQ2N15BMl5BanBnXkFtZTgwODk1NTk4OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1569109529?ref_=cs_ov_vi
